name,platform,id,team_name,car_name,avg_speed,total_distance,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,demos_inflicted,demos_taken
AJ,steam,76561198999774422,NIGHT EAGLES,Octane,1430,450768,2,9,0,2,2,0,274,False,0.0,0,0
Syco-Smsm,ps4,Syco-Smsm,NIGHT EAGLES,Octane,1465,456697,3,9,0,2,1,0,213,False,0.0,0,1
S7vB,epic,b3dd50fdd16841eeba9a7a638934da3b,NIGHT EAGLES,Octane,1512,475503,1,9,0,2,2,0,200,False,0.0,0,0
u are noob,steam,76561198452996823,GROG,Fennec,1549,507623,7,5,2,2,0,1,510,True,28.571428,2,0
ancient rl,steam,76561199049741033,GROG,Octane,1543,507219,3,5,1,2,0,0,284,False,33.333332,0,0
ABDOx5OD,ps4,ABDOx5OD,GROG,Octane,1446,476357,2,5,0,2,1,2,278,False,0.0,1,0
AJ,steam,76561198999774422,NIGHT EAGLES,Octane,1463,480284,2,12,1,3,4,0,599,False,50.0,0,0
S7vB,epic,b3dd50fdd16841eeba9a7a638934da3b,NIGHT EAGLES,Octane,1473,474068,2,12,1,3,1,1,332,False,50.0,0,2
Syco-Smsm,ps4,Syco-Smsm,NIGHT EAGLES,Octane,1467,478571,1,12,0,3,1,0,158,False,0.0,0,1
Evo.,steam,76561198357616630,MANSOURA,Fennec,1428,624554,3,19,2,5,7,0,824,False,66.666664,0,0
V,steam,76561198432243003,MANSOURA,Octane,1332,577936,2,19,1,5,3,0,439,False,50.0,0,1
N O T E.,steam,76561198345006368,MANSOURA,Octane,1372,587419,1,19,1,5,3,0,408,False,100.0,1,3
